,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
139,139,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7727535488557,2.79620935209356,10,GSM,2020,POINT (39086.5122212056 163647.29626128078),,,Other bees,
140,140,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7726691212669,2.79674019795118,65,GSM,2020,POINT (39123.749167109985 163637.1142911669),,,Other bees,
142,142,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8230659645524,2.91313765570793,30,GSM,2020,POINT (47442.18195261095 169074.84513948858),,,Other bees,
144,144,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Andrena,50.8209507493776,2.91409277357432,50,GSM,2020,POINT (47504.860617572616 168838.27559475135),,,Other bees,
147,147,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7782504428651,2.79693153687082,100,GSM,2020,POINT (39150.378689853955 164257.54820449557),,,Other bees,
157,157,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8228487894412,2.91270665824685,10,GSM,2020,POINT (47411.34568684324 169051.28632868547),,,Other bees,
158,158,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8228487894412,2.91270665824685,10,GSM,2020,POINT (47411.34568684324 169051.28632868547),,,Other bees,
162,162,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Lasioglossum,50.8213382028517,2.91378272697601,50,GSM,2020,POINT (47483.8616616551 168881.79545694683),,,Other bees,
164,164,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7784318272497,2.79685308225713,100,GSM,2020,POINT (39145.273577994216 164277.83772544563),,,Other bees,
167,167,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Nomada,50.7732601091739,2.79699498787783,30,GSM,2020,POINT (39143.10807630583 163702.45994076505),,,Other bees,
169,169,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8229409065571,2.911232365298,50,GSM,2020,POINT (47307.6857227234 169063.56846793275),,,Other bees,
171,171,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Nomada,50.8206873061609,2.91443224065277,50,GSM,2020,POINT (47528.202698297406 168808.50748718157),,,Other bees,
173,173,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7783576054971,2.79671276919804,10,GSM,2020,POINT (39135.205068742376 164269.79264282808),,,Other bees,
176,176,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Nomada,50.7731239870663,2.79727519490085,100,GSM,2020,POINT (39162.54798756575 163686.90317726415),,,Other bees,
177,177,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8224453684416,2.91265041567656,50,GSM,2020,POINT (47406.50393565738 169006.49607109465),,,Other bees,
178,178,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Andrena,50.8224453684416,2.91265041567656,50,GSM,2020,POINT (47406.50393565738 169006.49607109465),,,Other bees,
180,180,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7776603987913,2.79664185829721,100,GSM,2020,POINT (39128.563730064314 164192.35948633682),,,Other bees,
