Part,Site,Locatie,Datum,x_index,y_index,freq,average power
mow,blok,Muziekbos,20220705,8,2,1.25-2.5,0.017044397878758
mow,blok,Muziekbos,20220705,8,3,1.25-2.5,0.017101085302713034
mow,blok,Muziekbos,20220705,8,4,1.25-2.5,0.020824383466671675
mow,blok,Muziekbos,20220705,8,5,1.25-2.5,0.02167548692031896
mow,blok,Muziekbos,20220705,8,14,1.25-2.5,0.015765664038402495
mow,blok,Muziekbos,20220705,8,15,1.25-2.5,0.010161530399100208
mow,blok,Muziekbos,20220705,8,16,1.25-2.5,0.016011992390061312
mow,blok,Muziekbos,20220705,8,17,1.25-2.5,0.02345558551085857
mow,blok,Muziekbos,20220705,8,18,1.25-2.5,0.011845289010267991
mow,blok,Muziekbos,20220705,8,19,1.25-2.5,0.013212917023327522
mow,blok,Muziekbos,20220705,8,20,1.25-2.5,0.007256296681357431
mow,blok,Muziekbos,20220705,8,21,1.25-2.5,0.011544173653031283
mow,blok,Muziekbos,20220705,9,1,1.25-2.5,0.021009525930409105
mow,blok,Muziekbos,20220705,9,2,1.25-2.5,0.023018015814827875
mow,blok,Muziekbos,20220705,9,3,1.25-2.5,0.013923714522159462
mow,blok,Muziekbos,20220705,9,4,1.25-2.5,0.033847501361286725
mow,blok,Muziekbos,20220705,9,5,1.25-2.5,0.04972283118810409
